Subject,SessionDate,SessionTime,Sex,SexNum,Age,NativeLanguage,watch_movies,enjoy_scary_movies,watch_scary_movies,TV_with_screams,know_about_movies_actors,know_video_gmes,play_action_vid_gmes,confid_about_scrms_expt,diff_making_choice_expt,reading_emotions,CambridgeBehaviourScale,Trial,SoundFile2,StimType,Duration_1,Duration_2,Sound_End_Time,ScreamerSex,CorrectAnswer,Stimulus.RESP,ACC,Stimulus.RT,Actual_Latency
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,55,DifferentVocalizer_11,2.00,677.00,893.00,3824.00,0.00,2,2,1.00,4743,919.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,31,DifferentVocalizer_12,2.00,3365.00,4632.00,10086.00,1.00,2,2,1.00,7588,-2498.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,52,DifferentVocalizer_13,2.00,1326.00,1301.00,4776.00,0.00,2,2,1.00,5162,386.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,35,DifferentVocalizer_14,2.00,1583.00,1517.00,5407.00,0.00,2,2,1.00,6587,1180.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,36,DifferentVocalizer_15,2.00,487.00,562.00,3424.00,1.00,2,2,1.00,4649,1225.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,39,DifferentVocalizer_16,2.00,945.00,1259.00,4568.00,0.00,2,2,1.00,5808,1240.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,28,DifferentVocalizer_17,2.00,645.00,420.00,3120.00,0.00,2,1,0.00,5547,2427.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,42,DifferentVocalizer_18,2.00,1170.00,1173.00,5887.00,0.00,2,2,1.00,5626,-261.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,7,DifferentVocalizer_19,2.00,1794.00,1044.00,5306.00,0.00,2,2,1.00,6950,1644.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,24,DifferentVocalizer_20,2.00,916.00,1046.00,3982.00,0.00,2,2,1.00,5068,1086.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,3,DifferentVocalizer_21,2.00,916.00,1046.00,3982.00,0.00,2,2,1.00,4184,202.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,51,DifferentVocalizer_22,2.00,916.00,757.00,4117.00,0.00,2,2,1.00,5478,1361.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,34,DifferentVocalizer_23,2.00,2581.00,2362.00,7251.00,0.00,2,2,1.00,7939,688.00
2,28-Oct-11,4:45:39 PM,Male,1.00,20,English,5,4,4,3,3,5,4,4,4,4,52,41,DifferentVocalizer_24,2.00,1290.00,1300.00,4623.00,0.00,2,2,1.00,5698,1075.00
3,4-Nov-11,10:59:57 AM,Female,0.00,18,English,4,3,1,2,4,1,1,3,2,4,46,15,DurationModified_1,0.00,1516.00,1006.00,5927.00,0.00,1,1,1.00,6836,909.00
3,4-Nov-11,10:59:57 AM,Female,0.00,18,English,4,3,1,2,4,1,1,3,2,4,46,20,DurationModified_2,0.00,1024.00,536.00,4611.00,0.00,1,1,1.00,5917,1306.00
3,4-Nov-11,10:59:57 AM,Female,0.00,18,English,4,3,1,2,4,1,1,3,2,4,46,34,DurationModified_3,0.00,2756.00,1830.00,8340.00,0.00,1,1,1.00,8680,340.00
